# R[h^-1 Mpc], DS[h Msun pc^-2], DS_err[h Msun pc^-2]
3.195655782851228310e-02,7.601574014360750198e+00,2.851999316300672938e+00
4.712437668145781633e-02,6.128071906825415915e+00,1.923253016008111826e+00
6.949142925633143564e-02,8.565128261325810399e+00,1.274888940010955540e+00
1.024747504403134279e-01,2.728329822032619756e+00,8.752615949009014962e-01
1.511132320947011498e-01,1.848565722169132508e+00,5.956004025195948959e-01
2.228374191299683227e-01,1.978932203447378635e+00,4.226206011892537640e-01
3.286046805840662777e-01,1.435311538011943666e+00,2.917867732091064537e-01
4.845731768181044674e-01,9.514141670264005812e-01,2.048968716904095710e-01
7.145703563145647808e-01,9.529883424993770280e-01,1.399702521864243099e-01
1.053733096570455663e+00,7.814115330748730992e-01,9.831725021008644316e-02
1.553875596707745999e+00,6.755805235441445511e-01,7.761167947350904039e-02
2.291405079618673124e+00,6.965945724409098316e-01,5.604758127853828181e-02
3.378994592634546823e+00,5.535917507314268571e-01,4.475619321873108153e-02
4.982796171052209289e+00,5.031477471180760830e-01,4.551900766170956930e-02
7.347824035105770868e+00,3.969217226104806984e-01,5.424501556839949473e-02
